,name,race,medical,positive,negative,flavors
1836,True OG,indica,"Depression,Insomnia,Pain,Stress,Headache,Inflammation","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Pungent,Pine"
1837,Truffle Butter,indica,"Insomnia,Pain,Stress,Fatigue,Inflammation","Euphoric,Aroused","Dizzy,Dry Mouth,Dry Eyes","Chestnut,Coffee,Sweet"
1838,Truth Serum,hybrid,"Stress,Lack of Appetite","Relaxed,Happy,Energetic,Talkative,Giggly",,"Spicy/Herbal,Citrus,Earthy"
1839,Tuna Kush,indica,"Depression,Stress,Lack of Appetite,Nausea,Fatigue","Relaxed,Hungry,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Skunk,Pungent,Sweet"
1840,Turbo Mind Warp,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headaches","Hungry,Euphoric,Happy,Uplifted,Focused","Dry Mouth,Dry Eyes","Spicy/Herbal,Earthy,Flowery"
1841,Tutankhamon,sativa,"Depression,Pain,Stress,Nausea,Inflammation","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Skunk,Pungent,Sweet"
1842,Tutti Frutti,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Eye Pressure","Relaxed,Euphoric,Happy,Creative,Energetic","Dry Mouth,Paranoid,Dry Eyes,Anxious","Sweet,Tropical,Berry"
1843,Twista,sativa,"Depression,Stress,Fatigue,Headaches,Eye Pressure","Hungry,Happy,Creative,Energetic","Dry Mouth,Anxious","Sweet,Citrus,Earthy"
1844,Twisted Citrus,sativa,"Depression,Stress,Lack of Appetite,Headaches,Inflammation","Euphoric,Happy,Creative,Energetic,Uplifted",,"Citrus,Orange,Lemon"
1845,Tyson,indica,"Insomnia,Pain,Stress,Lack of Appetite,Muscle Spasms","Relaxed,Hungry,Euphoric,Sleepy",Dry Mouth,"Earthy,Pungent,Berry"
1846,U2 Kush,indica,"Depression,Insomnia,Pain,Stress,Nausea,Headache","Hungry,Uplifted,Tingly,Sleepy","Dizzy,Dry Mouth,Anxious","Lavender,Sweet,Woody"
1847,UK Cheese,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Cheese,Earthy,Pungent"
1848,UW,indica,"Insomnia,Pain,Stress,Lack of Appetite,Headache,Muscle Spasms","Relaxed,Happy,Talkative,Tingly,Sleepy","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Flowery,Butter"
1849,Ultimate Trainwreck,sativa,"Depression,Pain,Stress,Nausea,Headache,Fatigue","Euphoric,Energetic,Talkative,Uplifted,Aroused","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Tropical,Sweet,Apple"
1850,Ultra Banana,indica,,"Hungry,Giggly","Dizzy,Dry Mouth,Dry Eyes","Ammonia,Butter,Earthy"
1851,Ultra Sonja,hybrid,"Depression,Stress,Lack of Appetite,Headache,Fatigue,Headaches","Relaxed,Happy,Uplifted,Sleepy,Aroused","Dry Mouth,Dry Eyes","Blue Cheese,Pungent,Cheese"
1852,Ultra Sour,sativa,"Depression,Stress,Lack of Appetite,Fatigue","Relaxed,Hungry,Happy,Creative,Uplifted",Dry Mouth,"Diesel,Lemon,Pine"
1853,UltraViolet OG,indica,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Creative,Uplifted,Tingly",Dry Mouth,"Flowery,Berry,Pungent"
1854,Urkle Train Haze,hybrid,"Depression,Pain,Stress,Lack of Appetite,Nausea","Relaxed,Euphoric,Happy,Uplifted,Focused",Dry Eyes,"Sweet,Grape,Pine"
1855,VCDC,hybrid,"Depression,Insomnia,Pain,Stress,Nausea,Headache","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Dry Eyes","Citrus,Berry,Sweet"
1856,VOTS AZ Super Sour OG,hybrid,"Depression,Pain,Stress,Lack of Appetite,Headaches","Relaxed,Euphoric,Happy,Energetic,Uplifted",Dry Mouth,"Earthy,Diesel,Skunk"
1857,Vader OG,indica,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Hungry,Euphoric,Happy,Sleepy","Dizzy,Anxious","Earthy,Flowery,Sweet"
1858,Valentine X,hybrid,"Depression,Pain,Stress,Fatigue,Inflammation","Relaxed,Hungry,Euphoric,Creative,Giggly",Dry Mouth,"Pungent,Citrus,Skunk"
1859,Valley Ghash,hybrid,"Depression,Insomnia,Stress,Nausea,Headaches","Relaxed,Hungry,Euphoric,Happy","Dizzy,Dry Mouth,Dry Eyes","Sweet,Berry,Tropical"
1860,Valley Girl,hybrid,"Depression,Pain,Stress,Lack of Appetite,Inflammation","Relaxed,Hungry,Euphoric,Happy,Energetic",Dry Mouth,"Flowery,Earthy,Sweet"
1861,Vanilla Kush,indica,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Euphoric,Happy,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Vanilla,Sweet,Lavender"
1862,Velvet Bud,sativa,"Pain,Cramps,Lack of Appetite,Inflammation,Muscle Spasms","Euphoric,Creative,Energetic,Uplifted","Dry Mouth,Dry Eyes,Anxious","Sweet,Citrus,Flowery"
1863,Venice OG,sativa,"Depression,Stress,Lack of Appetite,Headache,Fatigue,Headaches","Relaxed,Happy,Creative,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes","Pine,Pungent,Woody"
1864,Venom OG,hybrid,"Pain,Stress,Nausea,Inflammation,Spasticity","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Pungent,Pine"
1865,Venus OG,hybrid,"Depression,Stress,Nausea,Headaches,Inflammation","Relaxed,Euphoric,Happy,Creative,Uplifted",Dry Mouth,"Citrus,Berry,Pungent"
1866,Verde Electric,hybrid,"Depression,Pain,Stress,Nausea,Headache,Inflammation","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Dry Mouth,Dry Eyes,Anxious","Pungent,Pine,Diesel"
1867,Versace,hybrid,"Depression,Pain,Stress,Headache,Fatigue,Headaches","Relaxed,Hungry,Euphoric,Happy,Uplifted",Dry Mouth,"Flowery,Citrus,Grapefruit"
1868,Very Berry Haze,sativa,"Depression,Pain,Stress,Nausea,Fatigue","Euphoric,Happy,Creative,Energetic,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Berry,Earthy,Grape"
1869,Violator Kush,indica,"Depression,Insomnia,Pain,Stress,Headache,Headaches","Relaxed,Euphoric,Happy,Sleepy,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Earthy,Woody,Spicy/Herbal"
1870,Violet Delight,hybrid,"Depression,Insomnia,Pain,Stress,Nausea","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth","Flowery,Violet,Sweet"
1871,Viper,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea","Euphoric,Happy,Creative,Energetic,Uplifted","Dizzy,Anxious","Citrus,Pungent,Minty"
1872,Voodoo,sativa,"Depression,Pain,Stress,Nausea,Inflammation","Hungry,Euphoric,Happy,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes","Nutty,Spicy/Herbal,Citrus"
1873,Vortex,sativa,"Depression,Pain,Stress,Headache,Fatigue,Headaches","Euphoric,Happy,Energetic,Talkative,Uplifted","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Mango,Lemon"
